Free,Bound,Added
0.922144385,0.077855615,1
1.864208074,0.135791926,2
2.819705149,0.180294851,3
3.784589287,0.215410713,4
4.756246099,0.243753901,5
5.73292805,0.26707195,6
6.713430221,0.286569779,7
7.696898479,0.303101521,8
8.682712312,0.317287688,9
9.67041104,0.32958896,10
10.65964601,0.34035399,11
11.65014881,0.349851192,12
12.64170962,0.358290378,13
13.63416219,0.36583781,14
14.62737313,0.372626867,15
15.62123426,0.378765744,16
16.61565691,0.384343094,17
17.61056777,0.389432232,18
18.6059057,0.394094299,19
19.60161933,0.398380673,20
